Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Abbreviations
Pruritus Vulvae,,160,350,950,5500,27500,47500,357300,478500,527000,717000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pruritus,,60,490,9650,57500,219510,370400,472500,625310,725870,871000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pseudo-Gaucher Disease,,60,250,870,12330,5310,125830,287500,442500,696500,825310,,,,,,,,,,,,,,,,,,,,,,KHZ
Pseudomonas Aeruginosa Wound,,20703.13,20912.5,20812.5,821.09,829.38,825.41,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Pseudomonas Aeruginosa,,331250-334600=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Pseudomonas Fluorescens,,175.5,248.5,351.4,468.5,2810.9,11243.6,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pseudomonas Infections,,60,230,8850,45250,115300,215310,437500,662500,825340,917030,,,,,,,,,,,,,,,,,,,,,,KHZ
Pseudomonas Mallei,,687,857,875,1273,501,743,774,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pseudomonas Pyocyanea,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pseudomonas,,174,482,5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pseudomonas,,5311,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pseudomyxoma Peritonei 1,,80,4160,10400,35000,21060,35830,20590,39907,38400,36800,,,,,,,,,,,,,,,,,,,,,,CUST
Pseudomyxoma Peritonei,,80,520,650,2500,10530,35830,224370,675870,727000,867000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pseudotumor Cerebri,,60,490,680,7500,102500,231700,472500,625690,705700,857200,,,,,,,,,,,,,,,,,,,,,,KHZ
Pseudoxanthoma Elasticum,,160,350,950,5500,27500,47500,350000,425310,571000,859000,,,,,,,,,,,,,,,,,,,,,,KHZ
Psittacosis,,583,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Psittacosis,,233,331,332,583,859,1217,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Psittacosis,,40,230,1970,25710,132500,332500,415020,675230,858590,915380,,,,,,,,,,,,,,,,,,,,,,KHZ
Psittacosis,,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Psoriasis Ankylosing Spondylitis,Spine Pelvis,3000,95,1550,802,880,787,776,727,650,625,600,28,1.2,10,35,28,7.69,110,100,60,428,680,,,,,,,,,,CAFL
Psoriasis,Skin,2180,2128,2008,2489,1552,880,800,786,728,664,304,96,112,100,60,104,64,152,2170,2720,,,,,,,,,,,,CAFL
Psoriasis,,50,550,1780,5970,85150,117150,453200,692230,824370,951000,,,,,,,,,,,,,,,,,,,,,,KHZ
Psoriasis,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Psorinum,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Psorinum,,786,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Psorinum,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Psychotic Disorders,,570,680,870,2500,5710,32500,92500,322530,519340,653690,,,,,,,,,,,,,,,,,,,,,,KHZ
Pterygium,,80,2180,17930,71500,121800,217500,431690,615850,791520,923310,,,,,,,,,,,,,,,,,,,,,,KHZ
Ptosis,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Puerperal Disorders,,140,890,1920,5850,67100,135500,432500,525310,734250,878500,,,,,,,,,,,,,,,,,,,,,,KHZ
Puerperal Infection,,140,890,1920,5850,52200,135500,434500,525310,734250,878500,,,,,,,,,,,,,,,,,,,,,,XTRA
Pullularia Pullulans,,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pullularia Pullulans,Lung,432,873,1364,684,739,750,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pullularia Pullulans,,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pulmonary Alveolar Proteinosis,,50,410,920,1970,207500,315930,587500,625310,776290,826070,,,,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Atresia,,150,410,680,980,7520,11810,89510,417430,671980,905700,,,,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Cancer,,230,410,720,870,5500,13010,81530,410410,527210,915910,,,,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Disease Chronic Obstructive,,370,410,620,970,7500,15310,87500,419430,773980,845700,,,,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Diseases,,160,210,420,970,7540,11810,67580,415430,671980,905700,,,,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Edema,,750,410,820,970,7500,19890,37530,125310,375930,519340,682020,750000,898000,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Edema,,750,410,820,970,7500,19890,37530,125310,375930,519340,,,,,,,,,,,,,,,,,,,,,,XTRA
Pulmonary Embolism,,350,410,920,970,7500,13420,71500,205410,476290,515700,691270,754190,995210,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Embolism,,350,410,920,970,7500,13420,71500,205410,476290,515700,,,,,,,,,,,,,,,,,,,,,,XTRA
Pulmonary Emphysema,,550,410,620,1970,7500,15930,67500,209310,345690,502510,595290,776870,901500,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Fibrosis,Lung,27.5,220,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pulmonary Fibrosis,,650,410,620,4970,7500,15310,87500,325930,385900,504370,651630,764890,912500,,,,,,,,,,,,,,,,,,,KHZ
Pulmonary Fibrosis,,27.5,220,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pupil Disorders,,20,240,1570,9850,201750,364000,423010,697300,875930,979530,,,,,,,,,,,,,,,,,,,,,,KHZ
Purpura Schoenlein-Henoch,,60,500,600,3870,212500,323000,502100,690090,722920,951000,,,,,,,,,,,,,,,,,,,,,,KHZ
