Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations,
Essential Oil - Mister,,18375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Motivation,,12875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Myrrh,,13125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - PanAway,,14000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Peace & Calming,,13125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Peppermint,,19500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Present Time,,24500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Purification,,23000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Raven,,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Ravensara,,16750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - RC,,18750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Release,,12750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Relieve It,,14000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Rose,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Sacred Mountain,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Sandalwood,,24000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - SARA,,12750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Sensation,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Surrender,,24500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Thieves,,18750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Three Wise Men,,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Trauma Life,,23000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Valor,,23500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - White Angelica,,22250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Tremor,,110,570,81300,105710,221500,337500,570510,691510,775480,971550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Estrogen Normalize Production Levels,,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Euglena,,432,3215,3225,3325,6448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eurytrema Pancreaticum,,420350-422300=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Eurytrema Pancreaticum,,1850,2000,2003,2008,2013,2050,2080,6578,13135.94=1200,13156.25,20960.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eustachian Tube Inflammation,Ear,1550,880,802,787,776,727,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eustachian Tube,,465,660,690,727.5,776,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Evans Syndrome,,120,550,950,5170,22500,142500,362500,562500,775360,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Exanthema Subitum,,70,500,950,7500,10530,132500,242500,392010,629260,915480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Exfoliation Syndrome,,150,230,730,850,5360,147250,335480,487500,695830,875360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Exhaustion,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Exocrine Pancreatic Insufficiency,,100,500,680,5950,35710,87500,137500,357500,596500,742060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Exostoses,,70,500,970,9000,11090,32500,42500,190000,450000,856720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Exotropia,,150,230,12750,38850,105250,217250,435360,617520,791480,877910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Expansion,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Expression,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Abnormalities,,100,500,700,2970,15870,37500,77500,157500,326500,722010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eye Arteriosclerosis,Eyes,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Bifocal,Eyes,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Cataract 2,,6110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Cataract,Eyes,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Discharge,,436,595,775,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Disorders,Eyes,10000,2010,1831,1830,1829,1600,1552,1335,880,787,727,496,400,360,350,160,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Disorders,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Droop of Lid,Eyes,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Floaters,,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Fusarium General,,600,625,650,746,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye General Ailments,,20,80,160,350,360,400,496,660,690,727.5,787,802,880,1335,1550,1552,1600,1830,2010,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Glaucoma,Eyes,727,787,880,5000,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Hemorrhage,,30,230,730,800,12690,5170,32500,93500,175000,526070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eye Infected,Eyes,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Infections,,110,350,700,950,7500,8000,30000,90000,322530,534250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eye Inflammation 2,,1.19,80,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eye Inflammation,Eyes,1.2,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Lacrimal,Eyes,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Near and Farsighted,Eyes,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Nerve Pain,Eyes,727,787,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Ptosis,Eyes,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Strain,Eyes,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eye Swollen Lid,Eyes,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eyes Crossed,Eyes,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eyes Crossed,,20,80,160,350,360,400,496,660,690,727.5,787,802,880,1335,1550,1552,1600,1830,2010,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eyes Glaucoma,Eyes,1600,1830,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eyes,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eyesight to Improve,Eyes,350,360,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Eyesight to Improve,,266,350,360,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRAF,
Fabry Disease,,70,220,730,2500,5250,50000,275360,536420,655200,755490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Facial Cramps,Face,10000,6000,304,1131,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Facial Hemiatrophy,,100,500,700,970,5830,17500,87500,157500,596500,857770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Facial Nerve Diseases,,80,320,610,2270,44250,115710,255480,485000,697500,856720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Facial Neuralgia,,600,870,2250,5170,55830,115710,255480,485000,697500,856720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Facial Paralysis 1,,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Facial Paralysis 2,,660,690,727.5,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Facial Paralysis,Face,10000,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Facial Paralysis,,80,320,610,2270,44250,115710,255480,485000,697500,856720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Facial Toning 1,Face,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Facial Toning 2,Face,2.4,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Facial Toning,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Factor V Deficiency,,40,320,620,970,5000,22500,60000,90000,325360,863650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Factor VII Deficiency,,80,220,730,2500,5710,50000,322530,415700,566410,707260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Factor X Deficiency,,10,240,650,5480,67250,177200,252500,562500,793500,814500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Factor X Deficiency,,40,240,650,5480,67250,177200,252500,562500,793500,814500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Factor XI Deficiency,,100,260,680,7500,11090,45000,325430,515700,682450,755490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Factor XII Deficiency,,50,120,600,870,2250,45000,325430,515700,682450,755490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fainting,Blood,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fallopian Tube Infection,,440,441,522,552,572,3343,3833,5312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Familial Mediterranean Fever,,160,570,950,5250,37250,132500,237500,522530,675430,819340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Familial Motor Neuron Disease,,190,570,1120,7500,27500,42500,96500,325430,415700,562970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fanconi Anemia,,50,410,1290,5430,7250,125440,467500,605910,702500,815430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Farcy,,20,501,660,687,690,727.5,743,774,787,857,875,880,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fascia 2,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fascia,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fasciculation,,100,260,680,9700,13520,45000,352930,496010,682450,755490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fasciitis Necrotizing,,160,570,950,3870,72250,125430,387500,525910,712500,825440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fasciitis,,50,120,600,3870,72250,125430,387500,525910,712500,825440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fasciola Hepatica 1,,13167.19,13353.12,13281.25,1044.42,1059.17,1053.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciola Hepatica 2,,1044.42,1053.47,1059.17,13167.19,13281.25,13353.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciola Hepatica Cercariae,,1050.5,1058.43,1067.34,13243.75,13343.75,13456.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciola Hepatica Eggs,,422000-427600=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciola Hepatica Eggs,,1046.02,1053.47,1059.91,13187.5,13281.25,13362.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciola Hepatica Miracidia,,421750-424700=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciola Hepatica Miracidia,,1045.41,1048.5,1052.73,13179.69,13218.75,13271.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciola Hepatica Rediae,,420600-427500=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciola Hepatica Rediae,,1042.55,1053.47,1059.67,13153.75,13281.25,13359.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciola Hepatica,,143,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Fasciola Hepatica,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Fascioliasis,,50,410,1000,5750,7250,15910,173300,435440,792500,915700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fasciolopsis Buski Adult 2,,1060.16,1075.77,1078.5,13365.62,13652.5,13596.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciolopsis Buski Adult,,846,847.7,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fasciolopsis Buski Adult,,427700-435100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciolopsis Buski Eggs 2,,1059.28,1075.77,1079.36,13354.69,13562.5,13607.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciolopsis Buski Eggs,,15,846,847.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fasciolopsis Buski Eggs,,427350-435450=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciolopsis Cercariae,,429500-435250=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciolopsis Cercariae,,1064.61,1075.77,1078.88,13421.87,13562.5,13601.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciolopsis Fluke,,15,55,1070.81,1075.77,2000,21508,21607.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciolopsis Miracidia,,427350-435200=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciolopsis Miracidia,,1059.28,1075.77,1978.75,13354.69,13562.5,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fasciolopsis Rediae,,427300-433000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Fasciolopsis Rediae,,1059.17,1070.81,1073.29,13353.12,13500,13531.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Burn 1,,124,333,523,666,768,786,950,958,959,959.6,960.39,962,967.6,969.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Burn 2,,6028.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Burn 3,,20,26,48,60,72,95,125,160,180,300,333,444,522,523,555,660,690,727.5,768,787,802,880,942,951,952,959,960,962,968,969,1009,1034,1060,1062,1395,1500,1550,1865,2050,2720,4868,5000,6989,7001,7009,7702,7762,7767,10000,XTRA,
Fat Burn 4,,5218.75,5796.86,5859.36,6140.25,8875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Burn Hypophyseal Lymph Detox,,2.5,4=240,6.29,7.53,10,10.35,15.05,15.19,146,148,304,440,444,456,465=240,522,625,635,676,727,751,787,880,3175,3176,3177,10000=240,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Burn,,2.5,4,6.3,7.83,10,10.36,15.05,15.2,146,148,304,440,444,456,465,522,625,635,676,727,751,787,880,3175,3176,3177,10000,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fat Cells,,295.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Energy Metabolism,,285,295.8,612,5219,5797,5859,6140,8875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Obesity 1,,465,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fat Obesity 2,,124,333,523,666,768,786,950,6,958.79,959,959.6,960.39,962,967.6,969.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatal Familial Insomnia,,260,380,890,6310,11590,48900,181280,327180,433830,509210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue 1,,20,72,95,125,428,444,465,660,690,727.5,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue 2,,20,72,95,125,428,444,465,660,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue 3,,20,72,95,120,125,424,428,444,464,660,664,1865,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue Adynamia,,27.5,60,100,220,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue Easily Fatigued,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue General,,428,424,664,660,464,125,120,95,72,20,444,1865,10000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fatigue Geriatric,,27.5,60,100,220,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatigue Syndrome Chronic,,50,230,950,12330,22500,45910,72500,92500,347510,821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fatigue,,40,250,950,7500,12850,29030,157500,381020,595420,875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fatigue,,120,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fatty Acid Oxidation Disorders,,20,520,730,2250,5430,45440,269710,534250,682450,751870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Fatty Liver,,40,490,780,7500,8000,15430,62500,325000,515700,655200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Favism,,110,240,650,830,2500,27500,55370,87500,125520,322060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fear 1,,1.1,5.79,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fear and Guilt Liberate,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fear,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Fears,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Febris Wolhynia,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Febris Wolhynia,,547,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Febris Wolyhnia,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Fecal Incontinence,,130,350,850,5750,17500,42500,221020,425430,771000,815910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Feel Good Overall,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Feet Excessive Sweating,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
