Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Abbreviations
Diabetes Associated Infection,,2020,800,727,786,190,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diabetes Gestational,,150,890,12700,77000,134200,235870,312500,453520,691520,872900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diabetes Gestational,,150,890,12700,77000,134200,235870,312500,420350,465300,872900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Hyperglycemia Symptoms,,657500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Insipidus,,160,240,680,110970,202500,367000,423290,632910,792900,935310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diabetes Insipidus,,160,240,680,110970,202500,367000,420350,422300,792900,935310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Mellitus Type 1,,150,890,1700,6970,12890,62300,429700,478230,895000,951300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Mellitus Type 2,,150,890,1700,6970,12890,62300,421000,465000,895000,951300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Mellitus,,150,890,1700,6970,12890,62300,512500,637500,895000,951300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diabetes Secondary,,10000,2720,2170,1800,1550,880,802,727,465,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diabetes Tertiary,,1850,32000,4000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diabetes Type 1,,429700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Type 2,,465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes Type 3,,787000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Acidosis,,160,410,770,8930,32250,43010,112520,421350,422300,802590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Foot Infection,,48,72,95,125,304,444,465,787,802,1865,2000=900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Ketoacidosis,,160,410,770,8930,32250,112520,212500,647500,822500,921620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diabetic Ketoacidosis,,160,410,770,8930,32250,112520,212500,421350,422300,921620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Loading,,35,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diabetic Neuropathies,,160,410,770,8930,32250,43010,112520,212500,647500,802590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diabetic Neuropathy,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Related Chronic Fatigue and Obesity,,347510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Retinopathy,,150,240,680,970,32250,43010,112520,212500,647500,732000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diabetic Retinopathy,,150,240,680,970,32250,43010,112520,212500,465350,422300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetic Toe Ulcer 1,,786,2112,1050,1.2,5000,832,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diabetic Ulcers,,727,776,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diaphragmatic Hernia,,40,260,680,2250,10890,145220,267500,425910,657770,825220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diarrhea,,1550,880,832,802,786,727,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dientamoeba Fragilis 1,,1001.41,20113.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dientamoeba Fragilis 2,,994.85,1001.41,1006.5,12542.19,12625,12689.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dientamoeba Fragilis,,401350-406050=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Dientamoebiasis,,70,370,830,2500,3000,62500,195310,375000,575310,875690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diffuse Cerebral Sclerosis of Schilder,,250,780,930,10890,7500,95900,322530,415700,562910,742060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diffuse Myofascial Pain Syndrome,,40,490,780,7500,118000,215430,362510,422060,608410,751200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
DiGeorge Syndrome,,10,370,830,2500,30000,67520,192200,475310,675690,819340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
DiGeorge Syndrome,,40,370,830,2500,30000,67520,192200,475310,675690,819340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Digestion,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Digestive System Diseases,,730,3230,55930,92500,115900,417500,545310,673300,796500,825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Digestive System Surgical Procedures,,30,500,930,2500,119000,417500,545310,673300,796500,825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diphtheria 1,,151,340,432,590,624,776,788,800,925,1000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diphtheria 2,,151,340,432,590,624,776,788,842.77,847.73,852.69,925,21250,21375,21500,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diphtheria,Respiratory,151,200,340,432,490,624,776,788,800,925,1000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diphtheria,,90,250,780,2750,12690,7500,95830,334250,453720,515310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diphtheria,,800000,1090154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Diphyllobothriasis,,20,240,700,7500,18210,145500,407500,712500,827500,921060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diphyllobothrium Erinacei,,1158.2,1208.51,14601.55,15235.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diphyllobothrium Latum,,1122.63,1170.71,14153.12,14759.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diplococcus Diphtheriae 1,,887.26,894.83,902.26,11185.94,11281.25,11375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diplococcus Diphtheriae 2,,894.83,17973.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diplococcus Diphtheriae,,357950-364000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Diplococcus Pneumoniae 1,,892.35,904.74,17923.34,18172.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diplococcus Pneumoniae 2,,871.64,892.35,904.74,957.9,11250,12076.55,21978.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diplococcus Pneumoniae_1,,351650-386450=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Diplococcus Pneumoniae_2,,365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Diplopia,,260,650,10530,5150,42500,65310,95900,225830,455820,805310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diptherinum,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Dipylidium Caninum 1,,1089.53,1101.3,13735.94,13884.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dipylidium Caninum 2,,1120.26,1170.33,14123.44,14754.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dirofilaria Immitis 1,,1011.7,1013.8,1019.13,12754.69,12781.25,12848.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dirofilaria Immitis 2,,200,535,543,728,799,1077,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dirofilaria Immitis 3,,200,535,543,799,1077,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dirofilaria Immitis Dog Heartworm,,408150-411150=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Dirofilaria Immitis,Lung,200,535,543,799,1077,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Disc Herniated 1,,15,25.39,324,660,690,727.5,787,2720,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Disc Herniated,Back,727,787,2720,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Disc Slipped,,20,26,57,72,95,125,146,333,523,555,660,690,727.5,768,786,787,880,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Disc Swelling,,15,25.39,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Disseminated Intravascular Coagulation,,130,720,920,9500,128000,302500,432500,597500,773910,901170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dissociative Disorders,,110,490,970,17300,29500,422500,602500,715310,803500,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Distal Trisomy,,120,350,3950,47500,87500,127500,325900,526500,708570,872930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Distemper,,242,254,312,442,551,573,624,671,712,940,1269,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Distemper,,242,254,312,551,573,671,712,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Distemper,,242,253,254,255,312,442,551,573,624,660,671,690,712,727.5,760,940,950,1269,1950,8567,,,,,,,,,,,,,,,,,,,,,XTRA
Distended Organs,,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Distended Stomach,,727,787,800,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Distichiasis,,80,410,800,7500,2500,30000,65310,125000,355720,422530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Distortion,Muscle,9.1,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diverticulitis Acute,Intestines,120,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diverticulitis,Intestines,154,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Diverticulitis,,190,230,850,2250,20000,17500,41020,662500,834000,913700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Diverticulosis,,154,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Diverticulosis,,154,400=1800,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dizziness 1,,40,58,60,72,92,316,522,645,652,683,688,720,727,766,784,786,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,XTRA
Dizziness,,4,5.8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dizziness,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
DNA and DNA Nucleotides + WBC RBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etc,,528,731,732,537.8=300,543.4=300,545.6=300,550=300,637=600,999=300,1434=600,1524=600,2452=600,1056,2008,9999,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
DNA Create New,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
DNA Heal,,5333.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
DNA Integrity Stimulate,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
DNA Repair,,528,731,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dog and Cat Hostility 1,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dopamine Stimulate Production,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Down Syndrome Palliative,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Down Syndrome,,20,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dracunculiasis,,100,570,800,54710,195310,352500,595900,619340,797610,891270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dreams,,20,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Droglioma,,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Dropsy,,727,787,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Drug Addiction,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Duane Retraction Syndrome,,40,9460,44300,194710,207500,330000,537500,605830,754030,825310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Duchenne Muscular Dystrophy DMD,,146,153,522,727.5,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dullness,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Duodenal Ulcer 2,,1.1,1.19,73,250,660,664,676,690,727.5,750,776,784,787,802,832,880,1550,1600,1800,2127.5,2167,2170,2489,2950,10000,,,,,,,,,,,,,,,,XTRA
Duodenal Ulcer,Stomach,676,727,750,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Duodenal Ulcer,,170,180,930,2500,15000,20000,45310,670000,725900,825830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Duodenitis,Stomach,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dupuytren's Contracture,Hands,1.2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dupuytren's Contracture,,70,820,5850,12710,25400,341000,415700,734510,819340,982020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dysautonomia Familial,,140,250,850,5250,7250,325000,587500,745310,815900,927000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dysentery,Intestines,1552,802,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
